2022-05-26 19:31:06,002 | ffb_producer | INFO | User record b'DE000PD6EEX0' successfully produced to trade-events [0] at offset 211
2022-05-26 19:31:06,018 | ffb_producer | INFO | User record b'DE000PD2TC34' successfully produced to trade-events [0] at offset 212
2022-05-26 19:31:06,033 | ffb_producer | INFO | User record b'DE000GK1XAM4' successfully produced to trade-events [0] at offset 213
2022-05-26 19:31:06,049 | ffb_producer | INFO | User record b'DE000DW2M803' successfully produced to trade-events [0] at offset 214
2022-05-26 19:31:06,065 | ffb_producer | INFO | User record b'DE000VX050A2' successfully produced to trade-events [0] at offset 215
2022-05-26 19:31:06,080 | ffb_producer | INFO | User record b'DE000KE79E38' successfully produced to trade-events [0] at offset 216
2022-05-26 19:31:06,096 | ffb_producer | INFO | User record b'DE000KG3FR77' successfully produced to trade-events [0] at offset 217
2022-05-26 19:31:06,111 | ffb_producer | INFO | User record b'DE000KG2BCD3' successfully produced to trade-events [0] at offset 218
2022-05-26 19:31:06,127 | ffb_producer | INFO | User record b'DE000VP6J4H0' successfully produced to trade-events [0] at offset 219
2022-05-26 19:31:06,142 | ffb_producer | INFO | User record b'DE000DW2V0A5' successfully produced to trade-events [0] at offset 220
2022-05-26 19:31:06,158 | ffb_producer | INFO | User record b'DE000VV2B8M1' successfully produced to trade-events [0] at offset 221
2022-05-26 19:31:06,173 | ffb_producer | INFO | User record b'DE000PF591C1' successfully produced to trade-events [0] at offset 222
2022-05-26 19:31:06,189 | ffb_producer | INFO | User record b'DE000KF26PA6' successfully produced to trade-events [0] at offset 223
2022-05-26 19:31:06,205 | ffb_producer | INFO | User record b'DE000SN1A1B4' successfully produced to trade-events [0] at offset 224
2022-05-26 19:31:06,220 | ffb_producer | INFO | User record b'DE000HZ8CD44' successfully produced to trade-events [0] at offset 225
2022-05-26 19:31:06,235 | ffb_producer | INFO | User record b'DE000HG3B5L8' successfully produced to trade-events [0] at offset 226
2022-05-26 19:31:06,251 | ffb_producer | INFO | User record b'DE000DW2VF74' successfully produced to trade-events [0] at offset 227
2022-05-26 19:31:06,267 | ffb_producer | INFO | User record b'DE000SH8BRT5' successfully produced to trade-events [0] at offset 228
